sampleID	measurement1	measurement2	measurement3
10-D0AM	31244459.19998970	66240726.21296110	21468915.10541520
10-D10	124971446228.46700	147657087762.4610	58661291490.919200
10-D11	143043915191.2780	215455387258.7450	293199726018.65600
10-D14	72746835530.00650	195094250365.161	69494827730.5755
10-D16	93644844758.60410	116778847248.8910	110718367253.09600
10-D18	57604658958.389200	79849198300.33680	103215068318.63000
10-D1AM	8787440405.903670	15034457656.969500	10812377331.459500
10-D1PM	49758144503.57420	109323703860.9090	112121422711.84900
10-D21AM	130502986978.10500	230374879314.46500	168095797820.3920
10-D21PM	187967460114.66300	195384947867.1710	302999336667.6190
10-D22AM	97459525397.15870	83610873385.77500	116867666912.38700
10-D22PM	44953091758.04080	89373328068.615	80746909001.49540
10-D23AM	31776736531.08500	62190966542.53470	19965360808.410500
10-D23PM	64387754561.79750	110130083918.29800	131946990169.8530
10-D24	71753967749.05780	92923731268.17550	110991350187.97700
10-D25	161542419185.3230	257409482679.2960	288858052198.63000
10-D29AM	170257410309.67100	202570016525.15200	222722460781.86400
10-D29PM	222020633338.73400	446857147004.91000	323145298012.66600
10-D2AM	73858363536.03930	121884763804.29800	153688988537.3760
10-D2PM	134498564739.40000	148701622943.51400	183286745796.24300
10-D30AM	149641930885.95000	302850986505.68900	311775341912.07900
10-D30PM	350208242988.2920	528188627977.7080	394284680456.8520
10-D31AM	390754810531.30100	189299416171.52300	359232401397.28800
10-D31PM	129152913122.57400	251326988905.26000	147992330401.39300
10-D32	495791896583.0840	512647036393.9930	272152058373.93000
10-D33	286801621964.0270	267185339071.3520	208354106250.0160
10-D35AM	349491308254.8290	235032841126.87600	415952609099.2370
10-D35PM	522252912508.0000	215089779815.95600	659377817549.5390
10-D36AM	132201965152.93700	58854866903.050400	186682391232.40600
10-D36PM	140876564510.4760	247516157968.59000	166281536561.178
10-D37AM	165043478391.6080	72975534475.63300	149522304289.59300
10-D37PM	1085912648177.4700	2019930187538.7400	2649231668720.280
10-D38	68891172293.80850	64687738206.55750	84969329855.513
10-D39	47605005867.10420	96272432963.11840	72424731679.9673
10-D3AM	24466886723.56550	35589986699.93270	32560915392.929800
10-D3PM	129136185227.61100	130630228824.94200	82982897306.17800
10-D42AM	59262492409.786500	49634039498.326	48720917739.67470
10-D42PM	30357673195.776500	36992498187.68450	48225640730.37580
10-D43AM	38763462633.90740	36416100619.29570	57808056012.07590
10-D43PM	54523382484.48150	29587640550.642800	41787381183.42680
10-D44AM	45099840901.32060	47835250424.08060	24911898447.970400
10-D44PM	28364496431.707000	51586816497.96310	47423406084.65740
10-D45AM	40224320827.01900	38683869633.21990	56338443423.42320
10-D45PM	14397264598.412000	40514421315.86790	36843020276.770800
10-D46	12639740592.14080	27104862942.408100	26493263214.59200
10-D47	20965239914.087600	38035727774.719400	39270497080.66140
10-D4AM	38545186769.58090	42397507342.39560	67740468784.28390
10-D4PM	35408038145.45120	49415783808.623000	66338830307.49820
10-D5	14261652848.726800	11146950372.815700	21264931634.302700
10-D50AM	38795232057.40030	62218563887.71140	29660248020.09280
10-D50PM	31298115469.86940	42528431805.695	49924756743.76500
10-D51AM	50156234549.25980	53234723274.2328	96632451807.52860
10-D51PM	56382440055.48460	31773865061.46930	43346659442.97910
10-D52AM	60959770593.257400	85621241392.35380	113276222309.87500
10-D52PM	103797513549.45600	60196304368.9803	90217695716.21360
10-D53	65839333748.242800	83715726749.75500	96306705376.92350
10-D54	20087568483.64440	34169595737.725400	39792549028.35820
10-D57AM	61724841877.91770	71979481239.5733	89278449267.79900
10-D57PM	169939938265.67000	309800255466.20200	285168299069.19700
10-D58AM	25185232406.376400	45924525603.4374	30081529492.194600
10-D58PM	11244261885.485900	21830862266.406700	22016044183.68330
10-D59AM	108480084184.05900	123229043429.91300	209260750245.76900
10-D59PM	20396402076.869900	22979243260.70810	33605365447.021200
10-D6	50172004756.9826	87334557808.33080	89720928565.93890
10-D60AM	38276606070.769	119011560038.54600	49011311012.62720
10-D60PM	28877560618.10670	40813022902.566100	41583989753.48750
10-D61	176191826346.9560	214194259520.0610	293990095520.19500
10-D62	190038463801.92000	149598537015.0860	207695979240.7840
10-D63	142204370965.84300	397300901756.4900	303322520374.0620
10-D64AM	69409878379.49120	171641490161.66000	211018608103.99900
10-D64PM	169001891646.09700	130647466879.635	102151084107.77400
10-D7	301360479007.33800	114643473652.03000	345134905757.6020
10-D8	185384119733.05300	272906327865.49500	227370173390.08500
10-D9	174139026605.97100	107588132439.44900	129320936983.619
2-D0AM	8097579.616619410	8536465.8116019	9538355.243706790
2-D0PM	29727973.88554680	56141273.29803760	24364385.02498720
2-D10	41290040113.68630	64235676191.78480	83845565730.19030
2-D11	29813632146.131700	65875384712.51130	50778117903.70230
2-D14	16477705228.695800	71049070088.90060	24988685454.784700
2-D16	36664874854.70680	62378985174.20130	38759987312.76530
